generation,scenario,id,normPref,aprioriAck,legalAck,careAck,epistemicAck,attempts,successes,conflict,debt,momentum,trustCount,trustMax,fulfilled,denied,expired,repaired,role,temperament,moralStance,scenarioGroup,memoryLength,affiliation,enableMoralRepair,enableDirectedEmergence,enableNonReciprocalTargeting,batchRun
21,utopian,10394,apriori,true,true,true,true,0,0,0,0,0.785,0,0,0,0,0,0,responder,0.14387109527881814,proactive,utopian,0.8798107219277431,pref_apriori,true,true,true,1
21,utopian,10395,apriori,false,true,true,true,0,0,0,0,0.919,0,0,0,0,0,0,disruptor,0.330377767424309,reactive,pluralist,0.7983143462766393,pref_apriori,true,true,true,1
21,utopian,10396,legal,false,true,true,false,0,0,0,0,0.628,0,0,0,0,0,0,mediator,0.1488600464771359,reactive,pluralist,0.370538371957464,pref_legal,true,true,true,1
21,utopian,10397,apriori,true,true,true,false,0,0,0,0,0.457,0,0,0,0,0,0,mediator,0.5408720136119939,reactive,pluralist,0.4429160056549587,pref_apriori,true,true,true,1
21,utopian,10399,legal,false,true,false,true,0,0,0,0,0.934,0,0,0,0,0,0,mediator,0.2844616027528749,proactive,pluralist,0.7312276894651881,pref_legal,true,true,true,1
21,utopian,10400,legal,true,true,true,true,0,0,0,0,0.587,0,0,0,0,0,0,responder,0.3228014766295215,reactive,utopian,0.36610854452998354,pref_legal,true,true,true,1
21,utopian,10401,legal,true,true,true,false,0,0,0,0,0.969,0,0,0,0,0,0,disruptor,0.5120136863679969,proactive,pluralist,0.27958320118941443,pref_legal,true,true,true,1
21,utopian,10403,legal,true,true,true,true,0,0,0,0,0.561,0,0,0,0,0,0,disruptor,0.06628565708624912,proactive,utopian,0.7563492873472928,pref_legal,true,true,true,1
21,utopian,10404,legal,true,true,true,true,0,0,0,0,0.247,0,0,0,0,0,0,mediator,0.15490064613882104,reactive,utopian,0.45906575744755024,pref_legal,true,true,true,1
21,utopian,10406,epistemic,true,true,true,true,0,0,0,0,0.930,0,0,0,0,0,0,mediator,0.7959700600892763,proactive,utopian,0.33195182373391474,pref_epistemic,true,true,true,1
21,utopian,10408,apriori,true,true,true,false,0,0,0,0,0.571,0,0,0,0,0,0,disruptor,0.9705953457559385,reactive,pluralist,0.20009209366585523,pref_apriori,true,true,true,1
21,utopian,10409,care,false,true,true,true,0,0,0,0,0.865,0,0,0,0,0,0,disruptor,0.43208955267657423,reactive,pluralist,0.9406773205560983,pref_care,true,true,true,1
21,utopian,10412,apriori,true,false,true,true,0,0,0,0,0.748,0,0,0,0,0,0,initiator,0.8579588349527323,proactive,pluralist,0.8395835815412085,pref_apriori,true,true,true,1
21,utopian,10414,epistemic,true,true,true,true,0,0,0,0,0.933,0,0,0,0,0,0,responder,0.40237173024781203,proactive,utopian,0.5087461370963777,pref_epistemic,true,true,true,1
21,utopian,10415,care,true,true,true,true,0,0,0,0,0.721,0,0,0,0,0,0,initiator,0.8071607075771557,reactive,utopian,0.4960358593960833,pref_care,true,true,true,1
21,utopian,10417,care,true,true,true,true,0,0,0,0,0.866,0,0,0,0,0,0,initiator,0.3224776515786755,reactive,utopian,0.20299397645837003,pref_care,true,true,true,1
21,utopian,10418,legal,false,true,true,true,0,0,0,0,0.753,0,0,0,0,0,0,mediator,0.43733334937887236,reactive,pluralist,0.3214108910343105,pref_legal,true,true,true,1
21,utopian,10420,care,true,true,true,true,0,0,0,0,0.674,0,0,0,0,0,0,mediator,0.8146793304503279,proactive,utopian,0.8187012265628839,pref_care,true,true,true,1
21,utopian,10422,apriori,true,true,true,true,0,0,0,0,0.744,0,0,0,0,0,0,disruptor,0.4811117500909702,reactive,utopian,0.8606146579048923,pref_apriori,true,true,true,1
21,utopian,10423,epistemic,true,true,true,true,0,0,0,0,0.369,0,0,0,0,0,0,disruptor,0.040254135445563444,reactive,utopian,0.3458308655555853,pref_epistemic,true,true,true,1
21,utopian,10424,legal,false,true,true,false,0,0,0,0,0.618,0,0,0,0,0,0,responder,0.4338669653345719,reactive,pluralist,0.43561287761459316,pref_legal,true,true,true,1
21,utopian,10426,apriori,false,true,true,true,0,0,0,0,1.000,0,0,0,0,0,0,responder,0.19699777893535275,proactive,pluralist,0.4020558304322697,pref_apriori,true,true,true,1
21,utopian,10427,legal,true,true,true,true,0,0,0,0,0.403,0,0,0,0,0,0,responder,0.025127924789877687,reactive,utopian,0.4764014570166598,pref_legal,true,true,true,1
21,utopian,10428,legal,true,true,false,true,0,0,0,0,0.408,0,0,0,0,0,0,mediator,0.6982763298372294,proactive,pluralist,0.7375942863535845,pref_legal,true,true,true,1
21,utopian,10429,apriori,true,true,true,true,0,0,0,0,0.965,0,0,0,0,0,0,initiator,0.5214569097796558,reactive,utopian,0.4621279491619465,pref_apriori,true,true,true,1
21,utopian,10431,care,false,true,true,true,0,0,0,0,0.397,0,0,0,0,0,0,mediator,0.55781407589843,reactive,pluralist,0.8726790611451802,pref_care,true,true,true,1
21,utopian,10434,legal,false,false,true,false,0,0,0,0,0.813,0,0,0,0,0,0,disruptor,0.14150761679697554,reactive,allCare,0.7689017183446991,pref_legal,true,true,true,1
21,utopian,10435,epistemic,true,true,true,false,0,0,0,0,0.619,0,0,0,0,0,0,disruptor,0.7559142355669718,proactive,pluralist,0.4662805048921328,pref_epistemic,true,true,true,1
21,utopian,10436,apriori,true,true,false,true,0,0,0,0,1.000,0,0,0,0,0,0,responder,0.43682535174880355,proactive,pluralist,0.8760307428758429,pref_apriori,true,true,true,1
21,utopian,10437,legal,true,true,true,false,0,0,0,0,0.839,0,0,0,0,0,0,initiator,0.14431479670223046,reactive,pluralist,0.7947539275379436,pref_legal,true,true,true,1
21,utopian,10439,legal,true,true,true,false,0,0,0,0,0.575,0,0,0,0,0,0,responder,0.31676324742193496,proactive,pluralist,0.5386749899875312,pref_legal,true,true,true,1
21,utopian,10440,epistemic,true,false,true,true,0,0,0,0,0.517,0,0,0,0,0,0,responder,0.6614079032158531,reactive,pluralist,0.9700029779507076,pref_epistemic,true,true,true,1
21,utopian,10441,care,true,true,true,true,0,0,0,0,0.469,0,0,0,0,0,0,initiator,0.293536518156464,proactive,utopian,0.7368821375339287,pref_care,true,true,true,1
21,utopian,10443,apriori,false,true,true,true,0,0,0,0,0.735,0,0,0,0,0,0,disruptor,0.2779055182896001,proactive,pluralist,0.5701024886794668,pref_apriori,true,true,true,1
21,utopian,10444,legal,false,true,true,true,0,0,0,0,0.598,0,0,0,0,0,0,disruptor,0.6790381326617496,reactive,pluralist,0.865635700304632,pref_legal,true,true,true,1
21,utopian,10445,legal,true,true,true,true,0,0,0,0,0.843,0,0,0,0,0,0,mediator,0.8097989638103563,proactive,utopian,0.4355320934512893,pref_legal,true,true,true,1
21,utopian,10446,apriori,true,true,true,true,0,0,0,0,0.470,0,0,0,0,0,0,disruptor,0.8153551447884909,proactive,utopian,0.9253109661886054,pref_apriori,true,true,true,1
21,utopian,10448,apriori,true,true,true,true,0,0,0,0,0.347,0,0,0,0,0,0,mediator,0.4114563740058741,proactive,utopian,0.8349244373589797,pref_apriori,true,true,true,1
21,utopian,10449,care,true,true,true,true,0,0,0,0,0.628,0,0,0,0,0,0,initiator,0.5504018434612505,proactive,utopian,0.8716034864054045,pref_care,true,true,true,1
21,utopian,10450,epistemic,false,true,true,true,0,0,0,0,0.623,0,0,0,0,0,0,mediator,0.09779598307885096,reactive,pluralist,0.7456999470448837,pref_epistemic,true,true,true,1
21,utopian,10451,epistemic,true,true,true,false,0,0,0,0,0.419,0,0,0,0,0,0,mediator,0.6129951551919544,reactive,pluralist,0.3398154252236852,pref_epistemic,true,true,true,1
21,utopian,10452,apriori,true,true,true,true,0,0,0,0,0.587,0,0,0,0,0,0,responder,0.43566298822321226,proactive,utopian,0.3426231103432782,pref_apriori,true,true,true,1
21,utopian,10453,care,true,false,true,true,0,0,0,0,0.527,0,0,0,0,0,0,responder,0.9403329208668855,reactive,pluralist,0.6374222087415031,pref_care,true,true,true,1
21,utopian,10455,epistemic,true,false,true,false,0,0,0,0,0.852,0,0,0,0,0,0,disruptor,0.023381335506891032,proactive,pluralist,0.7372384205120686,pref_epistemic,true,true,true,1
21,utopian,10456,legal,true,true,false,true,0,0,0,0,0.485,0,0,0,0,0,0,mediator,0.9473792598838978,reactive,pluralist,0.8526120373945558,pref_legal,true,true,true,1
21,utopian,10457,care,true,true,true,true,0,0,0,0,0.408,0,0,0,0,0,0,responder,0.8268055121550123,proactive,utopian,0.6214098929593088,pref_care,true,true,true,1
21,utopian,10459,legal,true,true,true,true,0,0,0,0,0.475,0,0,0,0,0,0,initiator,0.9242789173108648,proactive,utopian,0.46738428760011735,pref_legal,true,true,true,1
21,utopian,10460,apriori,true,true,true,true,0,0,0,0,0.903,0,0,0,0,0,0,initiator,0.19767145665244645,proactive,utopian,0.743478523733663,pref_apriori,true,true,true,1
21,utopian,10462,apriori,true,true,true,true,0,0,0,0,0.598,0,0,0,0,0,0,disruptor,0.635917327266815,proactive,utopian,0.911050964045474,pref_apriori,true,true,true,1
21,utopian,10465,legal,true,true,true,true,0,0,0,0,0.613,0,0,0,0,0,0,responder,0.21871182931521094,reactive,utopian,0.3496792303984354,pref_legal,true,true,true,1
21,utopian,10466,legal,true,true,false,true,0,0,0,0,0.306,0,0,0,0,0,0,responder,0.9802377475875852,reactive,pluralist,0.26072985802714443,pref_legal,true,true,true,1
